id,date,time,location,event_type,nature,narrative
20000,2024-01-05,12:04,"FENTON, MISSOURI","Caught, entangled in running powered equipment  normal operation","Amputations, avulsions, enucleations  unspecified","An employee was bending 16-gauge metal using a brake machine when their right thumb got caught in the machine's pressing mechanism, resulting in a partial thumb tip amputation. The employee was wearing personal protective equipment at the time of the incident."
20001,2024-01-06,02:24,"GETTYSBURG, PENNSYLVANIA",Struck by rolling powered vehicle or machinery,Traumatic injuries or exposures  unspecified,An employee was operating the walk/ride powered pallet jack in the cooler and became startled which caused him to step off the powered pallet jack while it was in operation and his hand was still on the operating controls. The employee's left ankle was run over by the powered pallet jack resulting…
20002,2024-01-07,12:40,"WEST PALM BEACH, FLORIDA",Direct exposure to electricity  220 volts or less,"Electrocution, electric shock",An employee was installing ceiling trim and received an electrical shock from electrical wiring within a ceiling stud.
20003,2024-01-08,17:45,"BEDFORD CORNERS, NEW YORK",Other fall to lower level  6 to 30 feet,Fractures,"An employee fell off a ladder about midway up or approximately 10 feet from the ground while cleaning the roof and gutters, resulting in a fracture."
20004,2024-01-10,02:21,"LAUDERDALE LAKES, FLORIDA","Struck by door, gate, window","Amputations, avulsions, enucleations  unspecified","A door closed on an employee's finger, causing an amputation to the fingertip."
20005,2024-01-16,21:53,"TONAWANDA, NEW YORK","Caught, entangled in running powered equipment  normal operation",Amputations involving bone loss,An employee was cutting a door with a circular saw and his right little finger was amputated at the second knuckle.
20006,2024-01-19,00:38,"AURORA, COLORADO",Pedestrian struck by forward-moving vehicle in road work zone,Fractures,"An employee was walking across the construction zone to get more material when they were struck by a tractor trailer that was carrying materials. The employee sustained multiple fractured ribs, fractured vertebrae, and a hip injury."
20007,2024-01-20,00:25,"HOUSTON, TEXAS",Exposure to environmental heat  indoor,Effects of heat  unspecified,An employee was hospitalized and treated for heat stress.
20008,2024-01-20,12:54,"LUFKIN, TEXAS","Struck by running powered equipment  during maintenance, cleaning, testing","Avulsions, enucleations without bone loss",An employee was cleaning a fondant machine and amputated part of his left middle fingertip without bone loss. The tissue was surgically reattached.
20009,2024-01-21,06:35,"POMPANO BEACH, FLORIDA",Struck by falling object  unspecified,Fractures,"An employee was assisting with hoisting up a hydraulic cylinder when the cylinder slipped and fell on their foot, fracturing a toe."
20010,2024-01-25,08:39,"LUBBOCK, TEXAS","Collapse, engulfment  open trench or excavation",Fractures,Employees were testing and repairing a sewer line while in a trench that was approximately 3.5 feet deep. Employee 1 was standing and employee 2 was squatting down to work on the line when the trench walls collapsed. Employee 2 was engulfed by the dirt. Both employees were transported to the hospit…
20011,2024-01-31,22:11,"EL PASO, TEXAS",Fall on same level due to slip or trip,Fractures,"An employee was injured inside a car wash tunnel that was being built when he stepped on a trench grate and his leg fell through, causing a fracture to his left leg."
20012,2024-02-02,02:26,"LARGO, FLORIDA",Fall on same level due to slip or trip,Fractures,"An employee was walking out of the freezer, slipped, and fell to the floor resulting in a fractured ankle."
20013,2024-02-04,18:54,"CHICKASHA, OKLAHOMA","Struck by running powered equipment  during maintenance, cleaning, testing",Fractures,Two employees were troubleshooting a palletizer. The injured employee was clearing the work area when the machine was cycled and their right leg was caught in the machine. The employee sustained a fractured ankle.
20014,2024-02-04,19:19,"MIAMI, FLORIDA","Collision with stationary object, nonroadway","Cuts, lacerations, punctures without injury to internal structures",An employee was operating a reach truck when their left foot was crushed between the reach truck and a station. The employee was wearing safety shoes at the time of the incident that contributed to the laceration of the employee's left foot. The incident occurred during training.
20015,2024-02-06,06:36,"NORTH HOOSICK, NEW YORK",Struck by running powered equipment  unspecified,Amputations involving bone loss,An employee was working on a grain auger and sustained amputation of their right index finger.
20016,2024-02-07,05:05,"TUSCALOOSA, ALABAMA",Exposure to electric arc,Electrical burns  any degree,An employee was testing voltage when an arc flash occurred. The employee sustained burns to their face.
20017,2024-02-08,12:45,"NEWPORT, NEW HAMPSHIRE","Struck by running powered equipment  during maintenance, cleaning, testing","Amputations, avulsions, enucleations  unspecified","An employee was dislodging a part that was stuck in the shot blasting machine when the part released and shifted, catching the employee's left middle finger between the part and the belt of the machine. The employee pulled his hand away and sustained a fingertip amputation."
20018,2024-02-08,18:12,"SAINT ALBANS, WEST VIRGINIA","Non-venomous animal bites  except ""bugs""","Fractures and surface, flesh wounds","An employee was delivering mail when they were attacked by a large dog, resulting in a fracture to their right leg and bite wounds on their right arm."
20019,2024-02-09,22:43,"ROCHESTER, NEW YORK",Fall on same level due to slip or trip,Fractures,"An employee was checking refer units on a truck in the docking area when he slipped on ice and fell to the concrete ground, suffering a broken femur."
20020,2024-02-12,06:27,"YERMO, CALIFORNIA",Nonroadway noncollision  vehicle overturn,Fractures,Two employees were performing maintenance on a ground mobility vehicle when it overturned on a military test track. One employee was hospitalized with a compression fracture of his spine and the second was hospitalized due to multiple injuries to the right side of his body.
20021,2024-02-12,20:38,"INDEPENDENCE, MISSOURI",Nonroadway noncollision  fall or jump from moving vehicle,Fractures,"An employee was hanging a cable lasher on fiber lines while in an elevated bucket truck. The crew moved to the next setup and the employee was ejected out of the bucket, falling to the ground approximately 15 feet below. The employee suffered a broken right foot and ankle, a bruised stomach, and a…"
20022,2024-02-13,08:42,"BIRMINGHAM, ALABAMA",Fall on same level  unspecified,Traumatic injuries or exposures  unspecified,"An employee was walking into a building from the employee parking lot when they fell to the ground, resulting in a right knee injury."
20023,2024-02-13,19:44,"FORT WORTH, TEXAS",Other fall to lower level  6 to 30 feet,Fractures,An employee fell approximately six feet from a portable ladder to the ground and fractured their left heel. The employee was hospitalized.
20024,2024-02-14,14:10,"BILLINGS, MONTANA",Other fall to lower level  less than 6 feet,Traumatic injuries or exposures  unspecified,"An employee was on a ladder while retrieving stocked goods from a top shelf when she fell from the bottom rung of the ladder to the cement floor, resulting in a right hip injury that required hospitalization."
20025,2024-02-14,14:57,"PHILADELPHIA, PENNSYLVANIA",Pedestrian struck by vehicle in nonroadway area  unspecified,Fractures,"An employee was struck in the foot by the tire of a skid steer equipped with forks in the front, knocking him down and fracturing his tibia, fibula, and hip. He was hospitalized requiring surgery."
20026,2024-02-15,07:03,"BIRMINGHAM, ALABAMA",Other fall to lower level  unspecified,Fractures,An employee fell while walking down stairs and suffered a broken ankle.
20027,2024-02-17,23:12,"PITTSBURGH, PENNSYLVANIA",Other fall to lower level  unspecified,"Disc disorders, herniated disc","An employee fell while descending stairs, suffering a herniated disk in the neck."
20028,2024-02-18,05:55,"FORT LAUDERDALE, FLORIDA",Struck by object dropped by person,Fractures,"Employee 1 was lifting a bundle of rebar from a flatbed when the bundle fell onto employee 2's right ankle, resulting in a fracture."
20029,2024-02-18,08:23,"FRISCO, COLORADO","Fall from skis, snowboard, sled",Fractures,"An employee was skiing down a hill when her ski caught in the snow. She fell, suffering a broken right tibia."
20030,2024-02-19,05:54,"BROOKLYN, NEW YORK",Injured by object pushed or pulled by person,"Amputations, avulsions, enucleations  unspecified",An employee was making a repair to a fan that was secured to a shipping pallet with bolts. He removed the shipping bolts and stood the fan vertically on the pallet when he lost his grip and his right index fingertip was caught between the fan flange and the shipping pallet. He sustained a fingertip…
20031,2024-02-20,06:59,"NAPERVILLE, ILLINOIS","Collision with stationary object, nonroadway",Amputations involving bone loss,An employee was driving a stand-up forklift through a demising wall pass-through when their left foot became caught between the forklift and a bollard. The employee's foot was crushed and amputated.
20032,2024-02-21,03:43,"ATHENS, GEORGIA",Other fall to lower level  6 to 30 feet,Fractures,A crew was tearing off a section of roof over a concrete deck. An employee fell 25-30 feet off the roof edge that had a permanent railing for safety provided by the hospital. The employee suffered fractures and multiple injuries. The employee was hospitalized.
20033,2024-02-21,08:44,"DE KALB, MISSISSIPPI",Fall on same level due to slip or trip,Fractures,"An employee tripped on a floor mat in the kitchen and fell, fracturing their left hip."
20034,2024-02-22,15:46,"NORWOOD, OHIO",Exposure to environmental heat  outdoor,Effects of heat  unspecified,An employee was delivering mail on a residential route and sustained heat stress requiring hospitalization.
20035,2024-02-22,15:59,"LUVERNE, NORTH DAKOTA",Struck by running powered equipment  n.e.c.,Amputations involving bone loss,An employee was operating a hydraulic torque tool on a main bearing. The tool activated before the torque head was on the bolt. The employee's left little finger became caught between the reaction arm and the main bearing. The finger was crushed and the fingertip was amputated.
20036,2024-02-23,11:59,"FORT LAUDERDALE, FLORIDA",Pedestrian struck by vehicle in nonroadway area  unspecified,"Fractures and surface, flesh wounds",An employee was loading bags into a baggage cart when they were struck by a baggage cart. The employee sustained a severe laceration and a fractured left femur.
20037,2024-02-24,02:07,"KENOSHA, WISCONSIN",Struck by running powered equipment  unspecified,Amputations involving bone loss,An employee was checking RPMs on a part when their hand was pulled into the belt and pulley resulting in amputation of the right middle finger.
20038,2024-02-26,05:20,"BEDFORD PARK, ILLINOIS","Struck by running powered equipment  during maintenance, cleaning, testing",Amputations involving bone loss,"An employee was brushing something off a metal coil at the recoiler of a slitter machine. His glove was caught and pulled into a coil separator, and the separator disk amputated his right little finger. The machine was unguarded at the time."
20039,2024-02-27,16:27,"REXBURG, IDAHO",Caught or wedged between objects  nonrunning,Amputations involving bone loss,"An employee reached around a gate in order to open it when his fingers got stuck in the latch, resulting in a partial amputation of one finger at the knuckle."
20040,2024-03-01,14:01,"WASHINGTON, DISTRICT OF COLUMBIA",Contact with hot objects or substances,Thermal burns  second degree,An employee was using diesel fuel in the asphalt mixing drum to encourage stuck asphalt to move. The diesel vaporized when it touched the hot drum surface and the diesel vapor caused first- and second-degree burns.
20041,2024-03-03,16:37,"FORT WORTH, TEXAS",Fall on same level due to slip or trip,Fractures,"An employee tripped and fell in an inpatient therapy gym, falling to the concrete floor and suffering a broken right femur."
20042,2024-03-04,22:03,"DALLAS, TEXAS","Struck by running powered equipment  during maintenance, cleaning, testing","Amputations, avulsions, enucleations  unspecified",An employee was performing repairs on a crimping machine when their thumb and index finger were crushed in the crimping mechanism. The employee sustained an amputation to the finger.
20043,2024-03-07,10:16,"VALLEY, NEBRASKA","Caught, entangled in running powered equipment  normal operation",Amputations involving bone loss,An employee had just finished unloading a train car and was using a drill to operate a winch attached to the cables that secure the load while in transit. Their right glove was caught by the drill bit and the employee sustained amputations of their little finger at the second knuckle and their ring…
20044,2024-03-14,02:49,"BELK, ALABAMA",Injured by object held or wielded by person,Nonfatal 'crushing' injuries,"An employee was helping repair a sawmill trimmer. The employee transferred a pry bar from their right hand to their left hand, then turned, at which point the employee's left middle fingertip was pinched between the pry bar and a saw box. The fingertip was crushed at the nailbed, but not fractured;…"
20045,2024-03-15,01:55,"OPELIKA, ALABAMA","Struck by running powered equipment  during maintenance, cleaning, testing",Fractures,"An employee was removing debris from the bottom mold of a hydraulic press. The employee was beyond the light curtains when they were crushed by the upper die. The employee sustained fractures to their back, hip, and legs, as well as multiple bruises."
20046,2024-03-25,01:17,"WACO, TEXAS",Contact incidents  unspecified,Amputations involving bone loss,"An employee was disconnecting a trailer from a tractor and attaching a push bar when the bar pin pushed up and pinched their right index finger, resulting in an amputation."
20047,2024-03-26,02:53,"EAST GRANBY, CONNECTICUT","Collision with stationary object, nonroadway",Traumatic injuries or exposures  unspecified,"An employee was driving a three-wheel cart through an interconnecting tunnel when the cart veered into a wall, pinning his left leg against the wall. The employee sustained an injury to the leg."
20048,2024-03-26,03:30,"BROOKHAVEN, MISSISSIPPI",Struck by running powered equipment  unspecified,Multiple severe wounds and internal injuries,"An employee was training to operate the planer mill sorter. While standing on the upper catwalk he noticed that a bin was malfunctioning. As he was cleaning the photo eye, his left arm was caught on the framework of another bin as it was coming back to the up position, breaking and degloving his le…"
20049,2024-03-27,14:50,"SANDUSKY, OHIO",Fall on same level due to slip or trip,Fractures,An employee was walking into work when they slipped on ice and fell. The employee suffered a hip fracture.
20050,2024-03-27,15:34,"AUSTIN, TEXAS",Other fall to lower level  less than 6 feet,Fractures,"An employee was working from a track ladder attached to shelves. As she was reaching to scan the barcode on a box, she fell to the ground about 5 feet below, landing on her left side and suffering a broken left shoulder and wrist."
20051,2024-03-31,17:01,"MILTON, PENNSYLVANIA","Caught, entangled in running powered equipment  normal operation",Amputations involving bone loss,An employee was cutting parts for toolboxes using a metal shear when the shear actuated and his right thumb was amputated to the base of the thumb.
20052,2024-04-01,06:37,"BOSTON, MASSACHUSETTS","Caught, entangled in running powered equipment  normal operation","Amputations, avulsions, enucleations  unspecified",A carpenter utilizing table saw amputated the tip of their left thumb.
20053,2024-04-02,17:43,"SOUTH HOLLAND, ILLINOIS",Struck by running powered equipment  unspecified,"Amputations, avulsions, enucleations  unspecified",An employee was using a table saw when they sustained a left index fingertip amputation.
20054,2024-04-07,12:36,"JEFFERSONVILLE, OHIO",Fall to lower level resulting in exposure or contact  less than 6 feet,"Bruises, contusions",An employee was loading something into their truck while at a truck stop when they slipped on the truck steps and fell. The employee's head struck a metal phone box and their back struck a concrete block. The employee suffered a head contusion and was hospitalized.
20055,2024-04-09,00:22,"CHAPARRAL, NEW MEXICO",Exposure through intact tissue,Traumatic injuries or exposures  unspecified,An employee was troubleshooting a diesel fuel system on a military vehicle when diesel fuel spilled onto the employee.
